orden_compra,fecha_pedido,sku,cantidad,proveedor,fecha_promesa,fecha_recepcion,costo_unitario
OC-5167,2026-06-07,MP-0013,1106,PROV-06,2026-06-25,2026-07-01,361794
OC-5135,2025-12-15,MP-0011,1875,PROV-17,2026-01-04,,356026
OC-5079,2025-03-23,MP-0007,775,PROV-01,2025-04-09,2025-04-21,313781
OC-6145,2025-09-03,MP-0142,358,PROV-26,2025-09-17,2025-10-04,34292
OC-5609,2025-06-08,MP-0044,402,PROV-06,2025-06-13,2025-06-18,64011
OC-5513,2026-06-18,MP-0034,1646,PROV-03,2026-07-06,2026-07-22,318023
OC-5976,2025-06-24,MP-0112,210,PROV-20,2025-07-05,2025-07-21,23398
OC-5737,2025-05-30,MP-0067,405,PROV-04,2025-06-10,2025-06-15,65561
OC-5300,2026-02-19,MP-0022,1419,PROV-07,2026-03-04,2026-03-08,173118
OC-5428,2024-12-12,MP-0030,1591,PROV-27,2024-12-28,2025-01-15,284982
OC-6187,2024-10-14,MP-0150,243,PROV-21,2024-10-24,,40425
OC-5489,2025-06-10,MP-0033,1417,PROV-15,2025-06-26,2025-07-27,157770
OC-5339,2026-05-07,MP-0024,2049,PROV-31,2026-05-27,2026-05-31,223650
OC-6291,2025-06-05,MP-0248,97,PROV-14,2025-06-11,2025-06-17,860
OC-6175,2025-06-11,MP-0147,292,PROV-28,2025-06-21,2025-07-01,48242
OC-5537,2025-08-29,MP-0036,533,PROV-32,2025-09-09,2025-09-27,339654
OC-5771,2024-08-30,MP-0074,283,PROV-01,2024-09-05,2024-09-10,57757
OC-6032,2025-11-30,MP-0124,327,PROV-02,2025-12-14,2035-12-24,29143
OC-5461,2026-01-05,MP-0032,1540,PROV-03,2026-01-17,2026-01-29,196328
OC-5485,2025-01-28,MP-0033,2121,PROV-15,2025-02-13,2025-02-18,157770
OC-5612,2025-04-30,MP-0044,414,PROV-06,2025-05-05,2025-05-06,64011
OC-6444,2024-07-14,MP-0394,9,PROV-21,2024-07-20,2024-08-02,1688
OC-5403,2025-11-12,MP-0029,1255,PROV-04,2025-11-26,2025-12-10,310652
OC-5791,2026-03-11,MP-0080,260,PROV-24,2026-03-21,2026-03-31,39838
OC-6123,2024-12-26,MP-0138,287,PROV-21,2025-01-04,2025-01-06,68215
OC-5365,2026-02-11,MP-0026,896,PROV-28,2026-02-22,2026-03-09,393154
OC-5324,2024-09-23,MP-0023,1674,PROV-26,2024-10-09,2024-10-30,120113
OC-5678,2026-04-13,MP-0056,161,PROV-35,2026-04-20,2026-04-28,18750
OC-5558,2025-05-23,MP-0038,794,PROV-32,2025-06-10,2025-06-24,307900
OC-5939,2025-05-08,MP-0103,490,PROV-09,2025-05-16,2025-05-26,50643
OC-5178,2025-06-23,MP-0014,1396,PROV-26,2025-07-02,2025-07-14,234603
OC-5484,2025-02-16,MP-0033,1198,PROV-15,2025-03-04,2025-03-21,157770
OC-6273,2025-07-28,MP-0230,22,PROV-04,2025-08-05,2025-08-13,11714
OC-6139,2026-03-09,MP-0141,346,PROV-32,2026-03-15,2026-04-03,20387
OC-5796,2024-10-26,MP-0081,308,PROV-04,2024-11-05,,29017
OC-5902,2026-04-22,MP-0098,289,PROV-18,2026-04-27,2026-04-28,16242
OC-6180,2026-01-04,MP-0148,147,PROV-15,2026-01-15,2026-01-15,74617
OC-5437,2025-10-29,MP-0031,663,PROV-17,2025-11-11,2025-12-02,324073
OC-6002,2025-03-21,MP-0118,443,PROV-09,2025-03-26,2025-04-06,71465
OC-6266,2024-12-19,MP-0223,21,PROV-30,2025-01-01,2025-01-07,10102
OC-5836,2026-05-20,MP-0088,477,PROV-17,2026-05-25,2026-05-29,42952
OC-5022,2025-12-14,MP-0002,2092,PROV-02,2026-01-06,2026-02-28,98702
OC-6229,2026-03-18,MP-0187,35,PROV-21,2026-03-28,2026-04-01,11831
OC-6117,2025-11-03,MP-0137,354,PROV-09,2025-11-09,,39144
OC-5669,2024-12-13,MP-0054,335,PROV-35,2024-12-19,2024-12-26,52942
OC-5076,2026-03-18,MP-0006,732,PROV-08,2026-04-02,2026-04-12,142141
OC-5687,2025-10-03,MP-0057,301,PROV-02,2025-10-11,2025-10-18,65040
OC-5701,2024-08-09,MP-0058,318,PROV-25,2024-08-15,2024-08-20,64400
OC-5569,2025-06-23,MP-0039,1066,PROV-26,2025-07-12,2025-07-22,395252
OC-5358,2026-02-02,MP-0025,693,PROV-24,2026-02-21,2026-03-11,216530
OC-5638,2025-01-10,MP-0048,275,PROV-07,2025-01-18,2025-01-23,15566
OC-6377,2025-04-24,MP-0329,43,PROV-03,2025-05-06,,4253
OC-5276,2026-05-31,MP-0020,797,PROV-29,2026-06-15,2026-07-01,248445
OC-5350,2024-08-26,MP-0025,1023,PROV-24,2024-09-14,2024-09-29,216530
OC-5172,2025-11-20,MP-0013,995,PROV-06,2025-12-08,2025-12-31,361794
OC-5117,2026-02-28,MP-0010,2018,PROV-24,2026-03-20,2026-04-06,244981
OC-5253,2026-01-02,MP-0018,1545,PROV-07,2026-01-13,2026-01-27,91904
OC-5528,2025-05-28,MP-0035,2161,PROV-34,2025-06-14,2025-07-06,391712
OC-5595,2025-08-17,MP-0041,184,PROV-26,2025-08-26,,33775
OC-5892,2026-04-10,MP-0097,243,PROV-30,2026-04-20,2026-04-24,56581
OC-5255,2025-05-03,MP-0018,1661,PROV-07,2025-05-14,2025-06-07,91904
OC-5041,2026-02-11,MP-0004,734,PROV-20,2026-02-23,2026-03-04,385136
OC-6098,2026-02-07,MP-0135,279,PROV-01,2026-02-12,2026-02-15,25279
OC-5060,2025-03-06,MP-0005,1099,PROV-15,2025-03-20,2025-04-04,141286
OC-5589,2025-01-25,MP-0040,1662,PROV-31,2025-02-11,2025-02-17,143609
OC-6310,2024-11-05,MP-0266,43,PROV-07,2024-11-16,2024-11-28,8009
OC-5767,2026-02-21,MP-0074,268,PROV-01,2026-02-27,2026-02-27,57757
OC-5187,2024-11-24,MP-0014,1376,PROV-26,2024-12-03,2024-12-06,234603
OC-5860,2026-01-11,MP-0091,253,PROV-11,2026-01-22,2026-02-09,75896
OC-6016,2026-05-17,MP-0121,444,PROV-16,2026-05-26,2026-05-27,50877
OC-5877,2026-06-25,MP-0094,511,PROV-11,2026-07-07,2026-07-13,40900
OC-5381,2026-06-29,MP-0027,575,PROV-27,2026-07-15,2026-07-27,179174
OC-5604,2026-06-20,MP-0043,272,PROV-31,2026-07-01,2026-07-16,79081
OC-5344,2026-02-20,MP-0024,1970,PROV-31,2026-03-12,2026-03-13,223650
OC-6004,2025-01-21,MP-0118,339,PROV-09,2025-01-26,2025-01-31,71465
OC-6456,2024-08-15,MP-0405,81,PROV-26,2024-08-27,2024-09-16,8284
OC-5797,2026-03-24,MP-0081,278,PROV-04,2026-04-03,2026-04-16,29017
OC-5777,2025-12-01,MP-0075,222,PROV-33,2025-12-07,2035-12-17,30143
OC-6083,2025-07-17,MP-0131,493,PROV-35,2025-07-26,2025-08-02,37576
OC-6105,2025-12-19,MP-0136,336,PROV-03,2026-01-04,2026-01-13,50144
OC-6044,2024-10-02,MP-0126,322,PROV-23,2024-10-15,2024-10-24,42475
OC-5919,2025-02-02,MP-0100,281,PROV-10,2025-02-10,2025-02-11,61699
OC-5242,2025-03-03,MP-0018,1168,PROV-07,2025-03-14,2025-03-31,91904
OC-5222,2025-03-12,MP-0017,1411,PROV-32,2025-04-03,2025-04-14,165823
OC-5830,2026-03-20,MP-0087,484,PROV-23,2026-03-28,2026-04-02,77924
OC-5463,2025-10-26,MP-0032,2201,PROV-03,2025-11-07,2025-11-17,196328
OC-6459,2026-05-22,MP-0408,52,PROV-24,2026-06-04,2026-06-28,14786
OC-5071,2024-12-16,MP-0006,678,PROV-08,2024-12-31,2025-01-17,142141
OC-5854,2025-05-15,MP-0089,476,PROV-14,2025-05-24,2025-05-25,56054
OC-6224,2025-11-03,MP-0182,13,PROV-26,2025-11-16,2025-11-26,7457
OC-5935,2024-09-23,MP-0103,482,PROV-09,2024-10-01,,50643
OC-5464,2025-02-10,MP-0032,1299,PROV-03,2025-02-22,2025-03-09,196328
OC-5603,2024-12-07,MP-0043,207,PROV-31,2024-12-18,2024-12-21,79081
OC-5548,2026-03-04,MP-0037,796,PROV-34,2026-03-17,2026-03-29,101283
OC-5887,2025-02-17,MP-0096,242,PROV-29,2025-02-25,,51577
OC-6428,2026-01-07,MP-0379,4,PROV-32,2026-01-15,2026-01-27,12817
OC-5313,2025-04-05,MP-0023,1739,PROV-26,2025-04-21,2025-05-03,120113
OC-5206,2025-11-21,MP-0015,870,PROV-03,2025-12-06,2025-12-20,151416
OC-5806,2026-03-19,MP-0083,172,PROV-07,2026-03-25,2026-03-31,73001
OC-5367,2026-03-22,MP-0026,1109,PROV-28,2026-04-02,2026-04-28,393154
OC-5232,2026-01-06,MP-0017,1779,PROV-32,2026-01-28,2026-02-24,165823
OC-6366,2025-11-16,MP-0318,89,PROV-34,2025-11-22,2025-12-05,13277
OC-5072,2025-08-26,MP-0006,445,PROV-08,2025-09-10,2025-09-27,142141
OC-5333,2024-09-18,MP-0024,1980,PROV-31,2024-10-08,2024-10-19,223650
OC-6416,2024-11-15,MP-0367,34,PROV-23,2024-11-22,2024-11-22,13259
OC-5727,2026-03-15,MP-0065,338,PROV-13,2026-03-26,2026-04-07,35988
OC-5641,2025-06-05,MP-0048,399,PROV-07,2025-06-13,2025-06-27,15566
OC-6319,2026-05-11,MP-0275,89,PROV-31,2026-05-24,2026-06-11,2333
OC-5286,2026-01-05,MP-0021,615,PROV-03,2026-01-18,2026-02-10,188399
OC-6280,2024-08-19,MP-0237,5,PROV-30,2024-08-30,2024-09-10,2056
OC-5653,2025-01-23,MP-0050,374,PROV-26,2025-01-29,2025-02-14,63500
OC-5651,2024-12-10,MP-0050,393,PROV-26,2024-12-16,2024-12-24,63500
OC-6114,2025-12-30,MP-0137,442,PROV-09,2026-01-05,2026-01-15,39144
OC-6057,2025-02-24,MP-0128,353,PROV-22,2025-03-04,,56497
OC-5203,2025-06-05,MP-0015,513,PROV-03,2025-06-20,2025-07-02,151416
OC-6450,2025-09-16,MP-0400,36,PROV-28,2025-09-27,2025-10-04,13930
OC-5858,2025-01-23,MP-0090,461,PROV-02,2025-02-04,2025-02-12,48252
OC-5659,2025-09-27,MP-0051,329,PROV-15,2025-10-11,2025-10-28,68499
OC-5229,2025-06-19,MP-0017,2505,PROV-32,2025-07-11,2025-07-31,165823
OC-6386,2024-12-20,MP-0338,40,PROV-30,2025-01-04,2025-01-25,4061
OC-6233,2024-10-06,MP-0191,30,PROV-05,2024-10-19,2024-10-25,12700
OC-6172,2025-01-15,MP-0147,501,PROV-28,2025-01-25,2025-01-31,48242
OC-5473,2025-04-24,MP-0032,1472,PROV-03,2025-05-06,2025-05-14,196328
OC-6270,2025-07-08,MP-0227,72,PROV-24,2025-07-21,2025-08-09,2521
OC-6372,2024-08-21,MP-0324,40,PROV-08,2024-09-08,2024-09-25,14311
OC-6041,2024-10-04,MP-0125,408,PROV-12,2024-10-10,2024-10-09,76778
OC-5538,2025-07-29,MP-0036,539,PROV-32,2025-08-09,2025-08-28,339654
OC-5067,2025-07-21,MP-0005,1086,PROV-15,2025-08-04,2025-08-06,141286
OC-6015,2025-07-15,MP-0121,428,PROV-16,2025-07-24,2025-07-28,50877
OC-5143,2026-01-10,MP-0011,1657,PROV-17,2026-01-30,2026-01-29,356026
OC-6029,2025-12-13,MP-0124,215,PROV-02,2025-12-27,2025-12-22,29143
OC-6111,2026-05-11,MP-0137,447,PROV-09,2026-05-17,2026-05-23,39144
OC-5555,2025-08-29,MP-0038,1049,PROV-32,2025-09-16,2025-09-19,307900
OC-6419,2024-12-08,MP-0370,65,PROV-35,2024-12-23,2024-12-28,13919
OC-5857,2025-05-02,MP-0090,351,PROV-02,2025-05-14,2025-05-19,48252
OC-5213,2024-07-01,MP-0016,969,PROV-30,2024-07-16,2024-07-30,142723
OC-5441,2025-10-16,MP-0031,549,PROV-17,2025-10-29,2025-11-20,324073
OC-6226,2024-10-21,MP-0184,78,PROV-35,2024-10-29,2024-10-29,13370
OC-5092,2025-07-08,MP-0008,593,PROV-20,2025-07-28,2025-08-27,310890
OC-5240,2024-07-25,MP-0018,1538,PROV-07,2024-08-05,,91904
OC-5134,2025-11-12,MP-0011,1886,PROV-17,2025-12-02,2025-12-15,356026
OC-5855,2024-09-29,MP-0090,404,PROV-02,2024-10-11,2024-10-16,48252
OC-5650,2025-01-20,MP-0050,296,PROV-26,2025-01-26,2025-02-01,63500
OC-5192,2026-01-01,MP-0014,1056,PROV-26,2026-01-10,2026-01-19,234603
OC-5435,2026-05-09,MP-0030,1526,PROV-27,2026-05-25,2026-06-01,284982
OC-5744,2026-03-27,MP-0069,463,PROV-16,2026-04-08,,44153
OC-6042,2025-09-16,MP-0125,351,PROV-12,2025-09-22,2025-09-26,76778
OC-5244,2025-03-13,MP-0018,1500,PROV-07,2025-03-24,2025-04-08,91904
OC-5110,2025-02-01,MP-0009,2022,PROV-10,2025-02-19,2025-03-03,256746
OC-6036,2024-11-11,MP-0125,463,PROV-12,2024-11-17,2024-11-23,76778
OC-5845,2024-08-25,MP-0089,402,PROV-14,2024-09-03,2024-09-11,56054
OC-6429,2024-07-03,MP-0380,58,PROV-07,2024-07-13,2024-07-20,13527
OC-5086,2024-09-06,MP-0007,900,PROV-01,2024-09-23,2024-10-03,313781
OC-5273,2026-05-28,MP-0020,679,PROV-29,2026-06-12,2026-06-21,248445
OC-5524,2025-10-21,MP-0035,1384,PROV-34,2025-11-07,2025-11-24,391712
OC-6107,2026-06-30,MP-0136,323,PROV-03,2026-07-16,2026-07-28,50144
OC-5673,2025-04-21,MP-0055,321,PROV-02,2025-05-04,2025-05-22,43990
OC-5271,2026-01-17,MP-0020,500,PROV-29,2026-02-01,2026-02-13,248445
OC-5901,2024-09-02,MP-0098,331,PROV-18,2024-09-07,2024-09-13,16242
OC-5332,2025-01-28,MP-0024,1642,PROV-31,2025-02-17,2025-02-23,223650
OC-5755,2025-07-13,MP-0071,243,PROV-18,2025-07-23,2025-07-29,64609
OC-5257,2025-08-20,MP-0018,1986,PROV-07,2025-08-31,2025-09-14,91904
OC-5335,2026-06-06,MP-0024,1546,PROV-31,2026-06-26,2026-07-07,223650
OC-5024,2024-11-12,MP-0002,1344,PROV-02,2024-12-05,2024-12-22,98702
OC-6299,2026-06-06,MP-0256,99,PROV-29,2026-06-11,2026-06-19,1070
OC-6061,2026-06-20,MP-0129,366,PROV-18,2026-07-02,2026-07-22,38308
OC-6025,2026-05-14,MP-0123,343,PROV-26,2026-05-29,,29806
OC-6001,2024-08-04,MP-0118,453,PROV-09,2024-08-09,2024-08-13,71465
OC-6391,2026-03-02,MP-0343,14,PROV-11,2026-03-13,2026-03-18,11205
OC-5786,2024-10-29,MP-0078,157,PROV-12,2024-11-16,2024-11-26,56933
OC-6383,2024-07-06,MP-0335,33,PROV-05,2024-07-14,2024-07-20,6995
OC-5068,2025-12-18,MP-0005,1511,PROV-15,2026-01-01,2035-01-12,141286
OC-5763,2026-06-01,MP-0073,260,PROV-14,2026-06-12,2026-06-29,45806
OC-5578,2026-02-04,MP-0040,1372,PROV-31,2026-02-21,2026-03-03,143609
OC-5341,2025-09-16,MP-0024,1530,PROV-31,2025-10-06,2025-10-18,223650
OC-5357,2025-12-31,MP-0025,717,PROV-24,2026-01-19,2026-01-26,216530
OC-5815,2024-12-04,MP-0084,303,PROV-34,2024-12-11,2024-12-21,26907
OC-6361,2024-10-17,MP-0315,69,PROV-04,2024-10-24,2024-11-01,447
OC-5439,2025-10-13,MP-0031,734,PROV-17,2025-10-26,2025-11-09,324073
OC-6435,2024-08-01,MP-0386,33,PROV-14,2024-08-14,2024-08-23,5157
OC-6182,2024-10-02,MP-0149,133,PROV-34,2024-10-07,2024-10-14,32103
OC-5048,2025-01-21,MP-0004,1172,PROV-20,2025-02-02,2025-02-28,385136
OC-5615,2025-04-28,MP-0044,423,PROV-06,2025-05-03,2025-05-04,64011
OC-5496,2024-12-17,MP-0033,1232,PROV-15,2025-01-02,2025-01-04,157770
OC-5639,2025-05-02,MP-0048,329,PROV-07,2025-05-10,2025-05-24,15566
OC-6396,2026-05-21,MP-0347,48,PROV-02,2026-05-28,2026-06-02,7263
OC-5759,2025-10-03,MP-0071,352,PROV-18,2025-10-13,2025-10-15,64609
OC-6205,2025-02-09,MP-0165,60,PROV-02,2025-02-18,2025-02-27,14129
OC-5006,2025-06-20,MP-0001,456,PROV-02,2025-07-01,2025-07-11,299035
OC-5896,2024-12-07,MP-0098,417,PROV-18,2024-12-12,2024-12-21,16242
OC-5675,2024-08-22,MP-0055,368,PROV-02,2024-09-04,2024-09-07,43990
OC-5685,2026-04-18,MP-0057,565,PROV-02,2026-04-26,2026-05-08,65040
OC-5345,2026-01-30,MP-0024,1728,PROV-31,2026-02-19,2026-03-04,223650
OC-5880,2024-09-14,MP-0094,355,PROV-11,2024-09-26,2024-09-29,40900
OC-5878,2025-03-26,MP-0094,485,PROV-11,2025-04-07,2025-05-16,40900
OC-6262,2025-10-15,MP-0219,83,PROV-25,2025-10-25,2025-11-06,7896
OC-5152,2025-01-03,MP-0012,1238,PROV-29,2025-01-17,2025-01-21,260365
OC-5994,2026-04-30,MP-0117,254,PROV-27,2026-05-10,2026-05-12,19690
OC-6215,2026-01-11,MP-0174,34,PROV-31,2026-01-21,2026-01-23,13913
OC-5762,2026-02-01,MP-0073,243,PROV-14,2026-02-12,2026-02-24,45806
OC-6350,2025-06-19,MP-0305,15,PROV-16,2025-07-01,2025-07-22,4165
OC-5523,2025-04-01,MP-0035,1395,PROV-34,2025-04-18,2025-05-07,391712
OC-5481,2025-09-07,MP-0033,1841,PROV-15,2025-09-23,2025-10-15,157770
OC-5084,2024-12-10,MP-0007,878,PROV-01,2024-12-27,2025-01-11,313781
OC-5400,2025-05-13,MP-0029,1645,PROV-04,2025-05-27,2025-06-22,310652
OC-5326,2024-10-01,MP-0023,1427,PROV-26,2024-10-17,2024-10-29,120113
OC-5294,2024-10-03,MP-0022,1470,PROV-07,2024-10-16,2024-10-19,173118
OC-5052,2025-09-02,MP-0005,1275,PROV-15,2025-09-16,2025-09-23,141286
OC-5275,2025-02-17,MP-0020,782,PROV-29,2025-03-04,2025-03-08,248445
OC-6206,2024-12-27,MP-0166,14,PROV-08,2025-01-01,,10838
OC-5990,2025-02-09,MP-0116,157,PROV-09,2025-02-18,2025-02-25,49643
OC-5630,2026-04-03,MP-0047,296,PROV-34,2026-04-15,2026-04-27,60848
OC-6360,2025-07-18,MP-0314,61,PROV-11,2025-07-27,2025-08-08,3975
OC-5525,2024-09-09,MP-0035,1845,PROV-34,2024-09-26,2024-10-31,391712
OC-6379,2024-07-09,MP-0331,23,PROV-30,2024-07-15,2024-07-15,14953
OC-6200,2024-12-13,MP-0160,30,PROV-28,2024-12-25,2025-01-11,6056
OC-5689,2024-09-28,MP-0057,417,PROV-02,2024-10-06,2024-10-09,65040
OC-5189,2025-09-20,MP-0014,1089,PROV-26,2025-09-29,2025-10-21,234603
OC-5581,2026-02-16,MP-0040,1528,PROV-31,2026-03-05,2026-03-14,143609
OC-5115,2025-03-04,MP-0010,1246,PROV-24,2025-03-24,2025-04-18,244981
OC-5108,2025-10-03,MP-0009,1213,PROV-10,2025-10-21,2025-10-27,256746
OC-5200,2024-12-10,MP-0015,557,PROV-03,2024-12-25,2035-01-10,151416
OC-5354,2025-05-14,MP-0025,988,PROV-24,2025-06-02,2025-06-28,216530
OC-5627,2025-02-15,MP-0046,326,PROV-14,2025-03-03,2025-03-08,36673
OC-5825,2024-07-18,MP-0087,359,PROV-23,2024-07-26,2024-07-28,77924
OC-6408,2026-02-08,MP-0359,11,PROV-27,2026-02-19,2026-03-01,13436
OC-5541,2025-08-31,MP-0037,828,PROV-34,2025-09-13,2025-09-29,101283
OC-6397,2025-01-29,MP-0348,17,PROV-31,2025-02-03,2025-02-11,9374
OC-5598,2025-10-16,MP-0042,451,PROV-08,2025-10-28,2025-11-23,50406
OC-5626,2025-06-28,MP-0046,283,PROV-14,2025-07-14,2035-08-04,36673
OC-6169,2025-01-19,MP-0146,340,PROV-33,2025-01-25,2025-02-01,31220
OC-5505,2025-03-17,MP-0034,1181,PROV-03,2025-04-04,2025-04-27,318023
OC-6039,2025-06-02,MP-0125,548,PROV-12,2025-06-08,2025-06-16,76778
OC-5077,2024-09-09,MP-0006,864,PROV-08,2024-09-24,2024-09-27,142141
OC-5364,2024-09-10,MP-0026,976,PROV-28,2024-09-21,2024-09-26,393154
OC-5410,2025-12-04,MP-0030,1757,PROV-27,2025-12-20,2025-12-26,284982
OC-6347,2025-12-28,MP-0302,67,PROV-28,2026-01-10,2026-01-26,4885
OC-6307,2025-12-03,MP-0263,32,PROV-21,2025-12-09,2025-12-15,4802
OC-5396,2025-09-20,MP-0029,1178,PROV-04,2025-10-04,2025-10-15,310652
OC-6447,2024-08-18,MP-0397,58,PROV-14,2024-08-24,2024-08-31,8205
OC-5909,2025-05-31,MP-0099,349,PROV-17,2025-06-06,2025-06-13,42946
OC-6184,2025-08-20,MP-0149,141,PROV-34,2025-08-25,2025-08-30,32103
OC-6420,2026-01-27,MP-0371,32,PROV-31,2026-02-02,2026-02-11,4437
OC-5340,2025-09-12,MP-0024,1825,PROV-31,2025-10-02,2025-10-16,223650
OC-5712,2024-12-07,MP-0060,216,PROV-25,2024-12-24,2025-01-07,33628
OC-5511,2026-04-06,MP-0034,1630,PROV-03,2026-04-24,2026-05-13,318023
OC-5932,2025-11-17,MP-0103,492,PROV-09,2025-11-25,2025-11-23,50643
OC-5503,2025-04-04,MP-0034,1498,PROV-03,2025-04-22,2035-05-12,318023
OC-5732,2026-01-06,MP-0066,378,PROV-27,2026-01-18,2026-01-28,21206
OC-5142,2026-02-01,MP-0011,1154,PROV-17,2026-02-21,2026-03-18,356026
OC-5287,2026-03-25,MP-0021,737,PROV-03,2026-04-07,2026-04-23,188399
OC-5433,2025-06-06,MP-0030,1716,PROV-27,2025-06-22,2025-07-03,284982
OC-5372,2026-06-04,MP-0026,1149,PROV-28,2026-06-15,2026-06-24,393154
OC-5059,2025-10-19,MP-0005,1118,PROV-15,2025-11-02,2025-11-17,141286
OC-5652,2024-08-31,MP-0050,521,PROV-26,2024-09-06,2024-09-16,63500
OC-6367,2025-07-15,MP-0319,35,PROV-13,2025-07-27,2025-08-12,6387
OC-5368,2026-02-25,MP-0026,885,PROV-28,2026-03-08,2026-03-11,393154
OC-6306,2025-07-07,MP-0262,13,PROV-30,2025-07-15,2025-07-29,10446
OC-6295,2026-05-04,MP-0252,108,PROV-18,2026-05-17,2026-06-03,8477
OC-5235,2025-08-23,MP-0017,1902,PROV-32,2025-09-14,2025-10-17,165823
OC-5336,2025-05-13,MP-0024,1999,PROV-31,2025-06-02,2025-06-14,223650
OC-5085,2025-02-01,MP-0007,829,PROV-01,2025-02-18,2025-02-20,313781
OC-6240,2025-03-06,MP-0198,42,PROV-26,2025-03-23,,13940
OC-6267,2024-09-11,MP-0224,94,PROV-30,2024-09-24,2024-10-01,14481
OC-5920,2026-04-01,MP-0101,213,PROV-16,2026-04-08,2026-04-10,70351
OC-6124,2026-03-22,MP-0138,322,PROV-21,2026-03-31,2026-04-16,68215
OC-5910,2026-04-24,MP-0099,474,PROV-17,2026-04-30,2026-05-03,42946
OC-5445,2025-01-07,MP-0032,1801,PROV-03,2025-01-19,2025-02-02,196328
OC-5838,2024-10-29,MP-0088,363,PROV-17,2024-11-03,,42952
OC-6469,2025-10-22,MP-0418,73,PROV-29,2025-10-30,2025-11-05,14607
OC-6163,2024-08-05,MP-0146,354,PROV-33,2024-08-11,2024-08-22,31220
OC-6413,2024-08-08,MP-0364,50,PROV-13,2024-08-14,2024-08-16,7364
OC-5374,2025-08-13,MP-0026,911,PROV-28,2025-08-24,2025-09-07,393154
OC-5103,2024-09-04,MP-0009,2247,PROV-10,2024-09-22,2024-09-27,256746
OC-5395,2026-06-03,MP-0029,1266,PROV-04,2026-06-17,2026-06-20,310652
OC-6201,2025-03-04,MP-0161,36,PROV-03,2025-03-13,2025-03-22,2495
OC-5946,2024-12-18,MP-0105,167,PROV-29,2024-12-29,2025-01-06,56750
OC-5027,2026-03-18,MP-0002,2357,PROV-02,2026-04-10,2026-05-01,98702
OC-5016,2025-01-16,MP-0002,1493,PROV-02,2025-02-08,2025-02-28,98702
OC-6167,2025-10-19,MP-0146,385,PROV-33,2025-10-25,2025-10-31,31220
OC-5151,2025-09-14,MP-0012,758,PROV-29,2025-09-28,2025-10-08,260365
OC-5193,2025-03-01,MP-0014,1222,PROV-26,2025-03-10,2025-03-11,234603
OC-5531,2026-02-14,MP-0035,1290,PROV-34,2026-03-03,2026-03-25,391712
OC-6087,2026-04-21,MP-0133,252,PROV-01,2026-04-30,,24738
OC-5843,2026-06-19,MP-0088,374,PROV-17,2026-06-24,2026-07-01,42952
OC-5194,2025-08-24,MP-0014,1093,PROV-26,2025-09-02,2025-09-14,234603
OC-5871,2024-09-26,MP-0093,356,PROV-20,2024-10-03,2024-10-12,67888
OC-5254,2026-03-23,MP-0018,1280,PROV-07,2026-04-03,2026-04-17,91904
OC-5266,2025-08-28,MP-0019,493,PROV-31,2025-09-14,2025-10-17,81958
OC-6241,2025-05-08,MP-0199,50,PROV-13,2025-05-15,2025-05-27,13941
OC-6058,2025-03-01,MP-0128,449,PROV-22,2025-03-09,2025-03-12,56497
OC-5291,2025-10-11,MP-0022,870,PROV-07,2025-10-24,2025-11-03,173118
OC-5822,2025-12-22,MP-0085,179,PROV-25,2026-01-02,2026-01-08,42369
OC-6247,2026-02-11,MP-0205,66,PROV-30,2026-02-20,2026-03-02,2925
OC-5599,2026-04-27,MP-0042,231,PROV-08,2026-05-09,2026-05-18,50406
OC-5951,2024-07-28,MP-0106,256,PROV-24,2024-08-07,2024-08-22,22268
OC-6337,2026-04-23,MP-0292,90,PROV-31,2026-05-07,2026-05-17,12482
OC-5284,2026-03-17,MP-0021,668,PROV-03,2026-03-30,2026-04-15,188399
OC-5495,2025-04-19,MP-0033,2295,PROV-15,2025-05-05,2025-06-11,157770
OC-5680,2025-06-29,MP-0056,294,PROV-35,2025-07-06,2025-07-15,18750
OC-6237,2025-11-17,MP-0195,47,PROV-21,2025-12-04,2025-12-23,6770
OC-5231,2026-06-26,MP-0017,1817,PROV-32,2026-07-18,2026-07-25,165823
OC-5552,2026-03-07,MP-0038,668,PROV-32,2026-03-25,2026-03-28,307900
OC-5029,2026-05-27,MP-0003,765,PROV-01,2026-06-10,2026-06-30,178655
OC-6210,2025-07-21,MP-0169,22,PROV-24,2025-07-26,2025-07-29,1258
OC-6249,2024-08-18,MP-0207,40,PROV-07,2024-08-23,2024-08-26,1443
OC-5580,2025-05-19,MP-0040,1153,PROV-31,2025-06-05,,143609
OC-5149,2025-01-17,MP-0011,1827,PROV-17,2025-02-06,2025-03-22,356026
OC-6128,2025-01-27,MP-0139,209,PROV-03,2025-02-05,2025-02-04,22444
OC-5943,2025-06-12,MP-0104,200,PROV-06,2025-06-25,,71159
OC-6468,2025-04-18,MP-0417,52,PROV-06,2025-05-02,2025-04-29,13045
OC-6213,2025-03-07,MP-0172,4,PROV-04,2025-03-18,2025-03-29,11722
OC-5900,2024-12-29,MP-0098,279,PROV-18,2025-01-03,2025-01-10,16242
OC-5849,2024-12-07,MP-0089,397,PROV-14,2024-12-16,2024-12-11,56054
OC-5805,2025-04-19,MP-0083,247,PROV-07,2025-04-25,2025-04-27,73001
OC-5596,2025-01-15,MP-0042,429,PROV-08,2025-01-27,2025-02-07,50406
OC-5420,2025-10-12,MP-0030,2506,PROV-27,2025-10-28,2025-11-19,284982
